attScalar, iteration, data, tp, tn, fp, fn, accuracy, precision, recall, F-1 measure
0.8,28,test,317,677,180,540,0.289964994166,0.637826961771,0.369894982497,0.468242245199
0.8,29,train,1563,2197,768,1402,0.393086003373,0.670527670528,0.527150084317,0.590256797583
0.8,29,test,426,590,267,431,0.404317386231,0.614718614719,0.497082847141,0.549677419355
0.8,30,train,733,2628,337,2232,0.180438448567,0.685046728972,0.247217537943,0.36332094176
0.8,30,test,196,748,109,661,0.177946324387,0.64262295082,0.228704784131,0.33734939759
0.8,31,train,1660,2165,800,1305,0.414839797639,0.674796747967,0.559865092749,0.61198156682
0.8,31,test,456,575,282,401,0.43057176196,0.617886178862,0.532088681447,0.571786833856
0.8,32,train,1885,2129,836,1080,0.458853288364,0.6927600147,0.635750421585,0.663032008442
0.8,32,test,522,568,289,335,0.473162193699,0.643649815043,0.609101516919,0.625899280576
0.8,33,train,664,2636,329,2301,0.167453625632,0.668680765358,0.223946037099,0.33552299141
0.8,33,test,185,746,111,672,0.172695449242,0.625,0.215869311552,0.320901994796
0.8,34,train,1346,2490,475,1619,0.307082630691,0.739154310818,0.453962900506,0.562473882156
0.8,34,test,353,680,177,504,0.309218203034,0.666037735849,0.411901983664,0.509012256669
0.8,35,train,625,2691,274,2340,0.151602023609,0.695216907675,0.210792580101,0.323498964803
0.8,35,test,153,768,89,704,0.141190198366,0.632231404959,0.178529754959,0.278434940855
0.8,36,train,1718,2298,667,1247,0.402192242833,0.720335429769,0.579426644182,0.642242990654
0.8,36,test,461,631,226,396,0.4008168028,0.671033478894,0.537922987165,0.597150259067
0.8,37,train,1728,2227,738,1237,0.415851602024,0.700729927007,0.582799325464,0.636346897441
0.8,37,test,463,602,255,394,0.418903150525,0.644846796657,0.540256709452,0.587936507937
0.8,38,train,871,2503,462,2094,0.22478920742,0.653413353338,0.293760539629,0.405304792927
0.8,38,test,225,705,152,632,0.219953325554,0.596816976127,0.262543757293,0.364667747164
0.8,39,train,847,2628,337,2118,0.199662731872,0.715371621622,0.285666104553,0.408291154495
0.8,39,test,227,743,114,630,0.198949824971,0.66568914956,0.26487747958,0.378964941569
0.7,0,train,2892,69,2896,73,0.976053962901,0.499654457498,0.975379426644,0.660802010739
0.7,0,test,837,13,844,20,0.980746791132,0.497917906008,0.97666277713,0.659574468085
0.7,1,train,997,2055,910,1968,0.321585160202,0.522810697431,0.336256323777,0.409277504105
0.7,1,test,300,585,272,557,0.333722287048,0.524475524476,0.350058343057,0.419874037789
0.7,2,train,714,2386,579,2251,0.218043844857,0.552204176334,0.240809443508,0.335368717708
0.7,2,test,204,685,172,653,0.219369894982,0.542553191489,0.238039673279,0.330900243309
0.7,3,train,623,2494,471,2342,0.184485666105,0.569469835466,0.210118043845,0.306972160631
0.7,3,test,177,721,136,680,0.182613768961,0.565495207668,0.206534422404,0.302564102564
0.7,4,train,825,2330,635,2140,0.246205733558,0.565068493151,0.278246205734,0.372881355932
0.7,4,test,232,682,175,625,0.237456242707,0.570024570025,0.270711785298,0.367088607595
0.7,5,train,772,2441,524,2193,0.218549747049,0.595679012346,0.260370994941,0.3623562544
0.7,5,test,201,692,165,656,0.213535589265,0.549180327869,0.234539089848,0.328699918234
0.7,6,train,920,2313,652,2045,0.265092748735,0.58524173028,0.310286677909,0.405554331056
0.7,6,test,244,666,191,613,0.253792298716,0.56091954023,0.28471411902,0.377708978328
0.7,7,train,893,2360,605,2072,0.252613827993,0.596128170895,0.301180438449,0.400179251624
0.7,7,test,249,666,191,608,0.256709451575,0.565909090909,0.290548424737,0.383962991519
0.7,8,train,976,2325,640,1989,0.272512647555,0.60396039604,0.329173693086,0.426107836717
0.7,8,test,267,665,192,590,0.267794632439,0.581699346405,0.311551925321,0.405775075988
0.7,9,train,1009,2270,695,1956,0.287352445194,0.592136150235,0.340303541315,0.432212465196
0.7,9,test,287,641,216,570,0.293465577596,0.570576540755,0.334889148191,0.422058823529
0.7,10,train,1064,2263,702,1901,0.297807757167,0.602491506229,0.358853288364,0.449799196787
0.7,10,test,290,634,223,567,0.299299883314,0.56530214425,0.338389731622,0.423357664234
0.7,11,train,1091,2245,720,1874,0.305396290051,0.602429596908,0.367959527825,0.456867671692
0.7,11,test,299,634,223,558,0.30455075846,0.572796934866,0.348891481914,0.433647570703
0.7,12,train,1132,2239,726,1833,0.313322091062,0.609257265877,0.381787521079,0.469417375078
0.7,12,test,308,630,227,549,0.312135355893,0.575700934579,0.359393232205,0.442528735632
0.7,13,train,1140,2238,727,1825,0.314839797639,0.610605249063,0.384485666105,0.471854304636
0.7,13,test,314,637,220,543,0.311551925321,0.588014981273,0.366394399067,0.451473759885
0.7,14,train,1115,2281,684,1850,0.303372681282,0.61978877154,0.376053962901,0.468094038623
0.7,14,test,293,638,219,564,0.298716452742,0.572265625,0.341890315053,0.428049671293
0.7,15,train,1128,2276,689,1837,0.306408094435,0.620803522289,0.380438448567,0.471769134253
0.7,15,test,309,639,218,548,0.307467911319,0.586337760911,0.360560093349,0.446531791908
0.7,16,train,1183,2264,701,1782,0.317706576728,0.627919320594,0.398988195616,0.487935656836
0.7,16,test,320,625,232,537,0.322053675613,0.579710144928,0.373395565928,0.454222853087
0.7,17,train,1196,2263,702,1769,0.320067453626,0.630136986301,0.403372681282,0.491877441908
0.7,17,test,321,624,233,536,0.323220536756,0.579422382671,0.374562427071,0.454996456414
0.7,18,train,1194,2278,687,1771,0.317200674536,0.634768740032,0.402698145025,0.492777548494
0.7,18,test,317,634,223,540,0.315052508751,0.587037037037,0.369894982497,0.453829634932
0.7,19,train,1201,2289,676,1764,0.31652613828,0.639850825786,0.405059021922,0.496076001652
0.7,19,test,317,634,223,540,0.315052508751,0.587037037037,0.369894982497,0.453829634932
0.7,20,train,1221,2305,660,1744,0.317200674536,0.649122807018,0.411804384486,0.503920759389
0.7,20,test,319,629,228,538,0.319136522754,0.583180987203,0.372228704784,0.454415954416
0.7,21,train,1238,2293,672,1727,0.322091062395,0.648167539267,0.417537942664,0.507897435897
0.7,21,test,333,619,238,524,0.333138856476,0.583187390543,0.388564760793,0.466386554622
0.7,22,train,1177,2344,621,1788,0.303204047218,0.654616240267,0.396964586847,0.494226327945
0.7,22,test,303,628,229,554,0.310385064177,0.56954887218,0.353558926488,0.436285097192
0.7,23,train,1223,2316,649,1742,0.31568296796,0.653311965812,0.412478920742,0.505685342154
0.7,23,test,324,621,236,533,0.326721120187,0.578571428571,0.378063010502,0.457304163726
0.7,24,train,1248,2318,647,1717,0.319561551433,0.658575197889,0.420910623946,0.513580246914
0.7,24,test,326,623,234,531,0.326721120187,0.582142857143,0.380396732789,0.460127028934
0.7,25,train,1165,2361,604,1800,0.298313659359,0.658564160543,0.392917369309,0.492184199409
0.7,25,test,310,643,214,547,0.305717619603,0.591603053435,0.361726954492,0.448950036206
0.7,26,train,1076,2378,587,1889,0.280438448567,0.647023451594,0.362900505902,0.464995678479
0.7,26,test,284,655,202,573,0.283547257876,0.584362139918,0.331388564761,0.422933730454
0.7,27,train,1214,2359,606,1751,0.306913996627,0.667032967033,0.409443507589,0.507419017764
0.7,27,test,311,636,221,546,0.310385064177,0.584586466165,0.362893815636,0.447804175666
0.7,28,train,1276,2344,621,1689,0.319898819562,0.672641012124,0.430354131535,0.524886877828
0.7,28,test,321,623,234,536,0.323803967328,0.578378378378,0.374562427071,0.454674220963
0.7,29,train,1306,2348,617,1659,0.324283305228,0.679147165887,0.440472175379,0.534369885434
0.7,29,test,317,619,238,540,0.323803967328,0.571171171171,0.369894982497,0.449008498584
0.7,30,train,1338,2315,650,1627,0.335244519393,0.673038229376,0.451264755481,0.540278619019
0.7,30,test,335,607,250,522,0.341306884481,0.57264957265,0.390898483081,0.464632454924
